Transportadora;CIDADE ORIGEM;CIDADE DESTINO;UF;Até 10kg;Até 20kg;Até 30kg; Até 40kg ; Até 50kg ; Até 60kg ; Até 70kg ;Até 80kg;Até 90kg;Até 100kg;Até 150kg;TX Embarque;Frete Valor;Frete Peso; TX ADM ;GRIS; GRISS MINIMO ; TDE ; TAXA QUIMICO ; QTDE PRAÇA ;FRAÇÃO;MINIMO; Sigla Praça 
A+ TRANSPORTES;São José dos Pinhais;Curitiba;PR; R$ 35,00 ; R$ 35,00 ; R$ 35,00 ; R$ 35,00 ; R$ 35,00 ;;;;;;;;;0,40000;;;;;;;;;
A+ TRANSPORTES;São José dos Pinhais;Guaratuba;PR; R$ 40,00 ; R$ 40,00 ; R$ 40,00 ; R$ 40,00 ; R$ 40,00 ;;;;;;;;;0,40000;;;;;;;;;
A+ TRANSPORTES;São José dos Pinhais;Matinhos;PR; R$ 40,00 ; R$ 40,00 ; R$ 40,00 ; R$ 40,00 ; R$ 40,00 ;;;;;;;;;0,40000;;;;;;;;;
A+ TRANSPORTES;São José dos Pinhais;Paranaguá;PR; R$ 36,00 ; R$ 36,00 ; R$ 36,00 ; R$ 36,00 ; R$ 36,00 ;;;;;;;;;0,40000;;;;;;;;;
A+ TRANSPORTES;São José dos Pinhais;Pontal do Paraná;PR; R$ 40,00 ; R$ 40,00 ; R$ 40,00 ; R$ 40,00 ; R$ 40,00 ;;;;;;;;;0,40000;;;;;;;;;
A+ TRANSPORTES;São José dos Pinhais;Rio Branco do Sul;PR; R$ 55,00 ; R$ 55,00 ; R$ 55,00 ; R$ 55,00 ; R$ 55,00 ;;;;;;;;;0,40000;;;;;;;;;
Aceville;Joinville;Porto Alegre;RS; R$ 33,43 ; R$ 33,43 ; R$ 33,43 ; R$ 38,35 ; R$ 38,35 ; R$ 50,14 ; R$ 50,14 ; R$ 50,14 ; R$ 62,93 ; R$ 62,93 ;; R$ 44,25 ;0,50%;0,43263;;0,15%;;;;;;;
Aceville;Porto Alegre;Joinville;SC; R$ 33,43 ; R$ 33,43 ; R$ 33,43 ; R$ 38,35 ; R$ 38,35 ; R$ 50,14 ; R$ 50,14 ; R$ 50,14 ; R$ 62,93 ; R$ 62,93 ;; R$ 44,25 ;0,50%;0,43263;;0,15%;;;;;;;
AGEX;ADRIANOPOLIS;SAO JOSE DOS PINHAIS;PR; R$ 30,32 ; R$ 32,85 ; R$ 32,85 ; R$ 37,90 ; R$ 37,90 ; R$ 40,43 ; R$ 40,43 ; R$ 50,53 ; R$ 50,53 ; R$ 50,53 ;;;0,30%;0,50000;;0,10%;;;;;;;
AGEX;ARAPONGAS;SAO JOSE DOS PINHAIS;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
